"","sr_group","ag1","ag2","fc","fc_lower","fc_upper"
"1","Wuhan conv.","wuhan","Wuhan",0,-1.03376424432947,0.978580368660867
"2","Wuhan conv.","wuhan","Alpha",-0.73892495747345,-1.82986212404437,0.351246069260922
"3","Wuhan conv.","wuhan","Beta",-0.726866660257667,-2.25935804357327,0.826145524622798
"4","Wuhan conv.","wuhan","Delta",-2.24332664294152,-3.61385201443205,-0.883276501400688
"5","Wuhan conv.","wuhan","BA.1",-6.4695755201669,-30.5397026046549,-2.53967368647128
"6","Wuhan conv.","wuhan","BA.2",-3.44347097330242,-5.25784483502118,-1.68677785750717
"7","Wuhan conv.","wuhan","BA.2.12.1",-4.11426157460529,-6.33749070804593,-2.3236708173211
"8","Wuhan conv.","wuhan","BA.5",-4.55968800895286,-7.65272315143679,-2.71817437014462
"9","Wuhan conv.","wuhan","BQ.1.1",-2.97304645150239,-4.94834575410091,-1.22267836721164
"10","Wuhan conv.","wuhan","XBB.1",-2.74160321879876,-3.95929878116564,-1.54104531973781
"11","Wuhan conv.","wuhan","XBB.1.5",-3.1193073496283,-4.40048003040065,-1.83564883915047
"12","Wuhan conv.","wuhan","XBC.1.6",-4.64032856963041,-8.03943779350886,-2.3796439508246
"13","Wuhan conv.","wuhan","FL.1.5.1",-3.48912124520789,-4.66555400204452,-2.29197308413538
"14","Wuhan conv.","wuhan","DV.7.1",-6.15652404875937,-26.3793723289861,-2.90290728971105
"15","Wuhan conv.","wuhan","HV.1",-5.06809016627456,-8.00361183755516,-3.41028255692345
"16","Wuhan conv.","wuhan","HK.3",-4.28327781179022,-5.80492379060344,-3.00051747754958
"17","Wuhan conv.","wuhan","BA.2.86",-6.33296494960756,-22.0207773327044,-3.4021871512845
"18","Wuhan conv.","wuhan","EG.5.1",-3.62385719073117,-5.47079109652782,-2.27272066177389
"19","Wuhan conv.","wuhan","JN.1",-11.32977256088,-198.512485751387,-6.79325341906279
"20","Wuhan conv.","wuhan","KP.2",-5.44316174285974,-11.6101262343937,-3.07076201476099
"21","Wuhan conv.","wuhan","KP.3",-11.32977256088,-199.123566116305,-7.03114923697796
"22","Wuhan conv.","wuhan","KZ.1.1.1",-11.32977256088,-199.179839577926,-7.28144161803633
"23","alpha conv.","alpha","Wuhan",-1.11834408787052,-2.07039990596258,-0.208362450493986
"24","alpha conv.","alpha","Alpha",0,-0.77306655830687,0.749256706378746
"25","alpha conv.","alpha","Beta",-1.87973119041131,-4.01331243056864,0.0301872245685224
"26","alpha conv.","alpha","Delta",-1.98906849798345,-3.38347010647126,-0.522065591708719
"27","alpha conv.","alpha","BA.1",-5.70682637553525,-24.1745948519515,-2.87439587091123
"28","alpha conv.","alpha","BA.2",-4.31184942598806,-8.74045026321213,-1.98212128375038
"29","alpha conv.","alpha","BA.2.12.1",-5.81484546722116,-31.0668288209954,-2.12233061060713
"30","alpha conv.","alpha","BA.5",-4.8884868236001,-13.7187588832648,-1.97098631793536
"31","alpha conv.","alpha","BQ.1.1",-3.26326097260788,-5.20412574300023,-1.59381622422508
"32","alpha conv.","alpha","XBB.1",-3.14133749464428,-5.17425480835168,-1.42090708011796
"33","alpha conv.","alpha","XBB.1.5",-3.7590566821259,-6.71593302952023,-1.74006898137593
"34","alpha conv.","alpha","XBC.1.6",-3.90140737118505,-6.65145941125069,-2.03139915331052
"35","alpha conv.","alpha","FL.1.5.1",-3.86984267697136,-6.806411569339,-2.02835410814632
"36","alpha conv.","alpha","DV.7.1",-4.32653299363206,-8.63345389019365,-2.14070420952581
"37","alpha conv.","alpha","HV.1",-5.74533401155904,-27.1588538760536,-2.78220309242149
"38","alpha conv.","alpha","HK.3",-4.36721885776081,-8.42955753939605,-2.30892304777394
"39","alpha conv.","alpha","BA.2.86",-10.7341375747107,-201.960316907433,-6.76879424774381
"40","alpha conv.","alpha","EG.5.1",-3.72107746838391,-6.93294979715081,-1.54443129603654
"41","alpha conv.","alpha","JN.1",-10.7341375747107,-198.513722293952,-5.77211457194018
"42","alpha conv.","alpha","KP.2",-5.48139848237261,-20.5757972308665,-3.19636763788976
"43","alpha conv.","alpha","KP.3",-10.7341375747107,-199.75627777117,-5.41028479901035
"44","alpha conv.","alpha","KZ.1.1.1",-10.7341375747107,-199.082153959565,-5.703117980833
"45","beta conv.","beta","Wuhan",-1.69385185196289,-2.39434687552662,-1.19644134420854
"46","beta conv.","beta","Alpha",-1.04575462587841,-1.59073148885739,-0.495077842059618
"47","beta conv.","beta","Beta",0,-0.245555942232574,0.256254788657287
"48","beta conv.","beta","Delta",-1.13939662438566,-2.31877432960477,-0.0127810967785116
"49","beta conv.","beta","BA.1",-2.87722649614712,-4.27650185730248,-1.95658559064415
"50","beta conv.","beta","BA.2",-2.56795609063867,-3.97942597929984,-1.67536499884546
"51","beta conv.","beta","BA.2.12.1",-3.01172921546018,-5.4826916716626,-1.61990755395731
"52","beta conv.","beta","BA.5",-4.72369249590693,-16.8678969947452,-2.59914128862055
"53","beta conv.","beta","BQ.1.1",-2.91698704966029,-4.66590486485903,-1.9126606168343
"54","beta conv.","beta","XBB.1",-3.50805938245289,-4.93419469984184,-2.6873314312217
"55","beta conv.","beta","XBB.1.5",-5.00538749404934,-22.2868333478642,-3.19051024773956
"56","beta conv.","beta","XBC.1.6",-4.42721705526299,-13.0152229121305,-2.68826062826233
"57","beta conv.","beta","FL.1.5.1",-4.23137596592223,-10.1398991438382,-2.98712048860151
"58","beta conv.","beta","DV.7.1",-4.36943333069451,-13.024062600042,-2.7141863843177
"59","beta conv.","beta","HV.1",-5.03540744692202,-19.7673866059472,-3.33339395758729
"60","beta conv.","beta","HK.3",-10.0982434659433,-196.665620935406,-6.00574656172512
"61","beta conv.","beta","BA.2.86",-10.0982434659433,-199.887784643944,-6.19506920816043
"62","beta conv.","beta","EG.5.1",-4.30330288175417,-11.9093717283001,-2.71362012088968
"63","beta conv.","beta","JN.1",-10.0982434659433,-199.47882295861,-6.3127386272299
"64","beta conv.","beta","KP.2",-5.07088969774686,-22.4540263114192,-3.22884319772349
"65","beta conv.","beta","KP.3",-10.0982434659433,-197.63729725491,-5.33702467277644
"66","beta conv.","beta","KZ.1.1.1",-10.0982434659433,-197.512751922935,-6.0182240104937
"67","delta conv.","delta","Wuhan",-1.24371820648979,-1.88163901787263,-0.592022381792545
"68","delta conv.","delta","Alpha",-1.0738143000239,-1.59880784504555,-0.568738169032228
"69","delta conv.","delta","Beta",-1.67860695480787,-2.27355602706313,-1.2367739290932
"70","delta conv.","delta","Delta",0,-0.161544480137213,0.165539163357603
"71","delta conv.","delta","BA.1",-3.13928400139895,-4.8521562782521,-2.32537957754985
"72","delta conv.","delta","BA.2",-3.19948600126804,-5.27024051266273,-2.2241351236364
"73","delta conv.","delta","BA.2.12.1",-4.76201903575804,-11.2662040414246,-3.46960676351012
"74","delta conv.","delta","BA.5",-3.46093017296547,-4.6607589485839,-2.76483465695281
