"","sr_group","ag1","ag2","fc","fc_lower","fc_upper"
"1","Wuhan conv.","wuhan","Wuhan",0,-1.04777105406245,0.999978507773632
"2","Wuhan conv.","wuhan","Alpha",0.0507878116446387,-1.07084841543989,1.18469011619421
"3","Wuhan conv.","wuhan","Beta",-0.726866660257667,-2.26806789270725,0.814220806223228
"4","Wuhan conv.","wuhan","Delta",-2.24332664294152,-3.60522990825196,-0.89526486021857
"5","Wuhan conv.","wuhan","BA.1",-6.4695755201669,-31.7956842787704,-2.06097198827692
"6","Wuhan conv.","wuhan","BA.2",-3.44347097330242,-5.24902115646059,-1.68354692832796
"7","Wuhan conv.","wuhan","BA.2.12.1",-4.11426157460529,-6.40511106124514,-2.29531981499798
"8","Wuhan conv.","wuhan","BA.5",-4.55968800895286,-7.59630253627221,-2.6141736903964
"9","Wuhan conv.","wuhan","BQ.1.1",-2.97304645150239,-5.16002474970604,-1.19303967904266
"10","Wuhan conv.","wuhan","CH.1.1",-3.1745239912802,-5.15181030138349,-1.33382802125247
"11","Wuhan conv.","wuhan","XBB.1",-2.74160321879876,-3.9793087057804,-1.45272984752882
"12","Wuhan conv.","wuhan","XBB.1.5",-3.1193073496283,-4.39794849032312,-1.87434208327242
"13","Wuhan conv.","wuhan","XBC.1.6",-4.64032856963041,-8.1232884206599,-2.53403524538328
"14","Wuhan conv.","wuhan","FL.1.5.1",-3.48912124520789,-4.66225558143673,-2.32165853477951
"15","Wuhan conv.","wuhan","DV.7.1",-6.15652404875937,-25.3129469151406,-2.58766074221917
"16","Wuhan conv.","wuhan","HV.1",-5.06809016627456,-7.74810629043053,-3.4083856654374
"17","Wuhan conv.","wuhan","HK.3",-4.28327781179022,-5.88599867258571,-3.03024081156106
"18","Wuhan conv.","wuhan","BA.2.86",-6.33296494960756,-22.1876516804187,-3.33516457947765
"19","Wuhan conv.","wuhan","EG.5.1",-3.62385719073117,-5.37846247135861,-2.14955620307851
"20","Wuhan conv.","wuhan","JN.1",-11.32977256088,-203.683626282827,-6.87782378091237
"21","Wuhan conv.","wuhan","KP.2",-5.44316174285974,-11.7778776141675,-3.05837862770036
"22","Wuhan conv.","wuhan","KP.3",-11.32977256088,-201.09550190363,-7.4080768433214
"23","Wuhan conv.","wuhan","KZ.1.1.1",-11.32977256088,-200.744662214398,-7.21016816388989
"24","alpha conv.","alpha","Wuhan",-1.90805816737116,-2.85600370468951,-0.946162937381415
"25","alpha conv.","alpha","Alpha",0,-0.736318532472625,0.746553404045664
"26","alpha conv.","alpha","Beta",-2.66941940446438,-4.85009540830721,-0.715263987794397
"27","alpha conv.","alpha","Delta",-2.77877767536386,-4.18018552275747,-1.33249997370524
"28","alpha conv.","alpha","BA.1",-6.49643399705942,-25.6903328017993,-3.84984794802361
"29","alpha conv.","alpha","BA.2",-5.10152404445037,-9.30770720769192,-2.86006410589184
"30","alpha conv.","alpha","BA.2.12.1",-6.60438540307466,-31.2651325547495,-3.15614522233036
"31","alpha conv.","alpha","BA.5",-5.67811871728335,-14.8963609511942,-2.93170636577431
"32","alpha conv.","alpha","BQ.1.1",-4.0529584336382,-5.90312705495472,-2.43510979952105
"33","alpha conv.","alpha","CH.1.1",-4.44581876763272,-7.66945105647582,-2.27583453436318
"34","alpha conv.","alpha","XBB.1",-3.93103191302821,-5.82721730683008,-2.15387555492946
