"","Study#","Virus strain","number of samples","Virus dose/note","NHP ID","Time point post challenge","sr_group","sr_group_time","sr_group_dose","sr_info","ag_name","Titer","Titer_thresh1","Titer_thresh20"
"1","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","Wuhan","40.424189015302197","40.424189015302197","40.424189015302197"
"2","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","Alpha","50.773119095865297","50.773119095865297","50.773119095865297"
"3","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","Beta","15.942592767231501","15.942592767231501","<20"
"4","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","Delta","29.057861131562799","29.057861131562799","29.057861131562799"
"5","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","BA.1","2.8875655040742498","2.8875655040742498","<20"
"6","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","BA.2","32.877870246718999","32.877870246718999","32.877870246718999"
"7","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","BA.2.12.1","17.435524635861398","17.435524635861398","<20"
"8","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","BA.5","21.3141540949518","21.3141540949518","21.3141540949518"
"9","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","BQ.1.1","17.4381301546148","17.4381301546148","<20"
"10","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","CH.1.1","15.2559508134403","15.2559508134403","<20"
"11","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","XBB.1","20.929288809203999","20.929288809203999","20.929288809203999"
"12","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","XBB.1.5","21.579581300224898","21.579581300224898","21.579581300224898"
"13","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","XBC.1.6","9.8485415989053298","9.8485415989053298","<20"
"14","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","FL.1.5.1","17.5017244651421","17.5017244651421","<20"
"15","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","DV.7.1","13.3170926098178","13.3170926098178","<20"
"16","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","HV.1","13.8009456109327","13.8009456109327","<20"
"17","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","HK.3","13.7148912893736","13.7148912893736","<20"
"18","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","BA.2.86","*","*","*"
"19","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","EG.5.1","13.0915972789197","13.0915972789197","<20"
"20","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","JN.1","*","*","*"
"21","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","KP.2","*","*","*"
"22","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","KP.3","*","*","*"
"23","20-05","Wuhan","n=5","?","T576","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._T576_D10_?_20-05","KZ.1.1.1","*","*","*"
"24","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","Wuhan","92.469281157442595","92.469281157442595","92.469281157442595"
"25","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","Alpha","112.26289508904701","112.26289508904701","112.26289508904701"
"26","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","Beta","55.812878375710703","55.812878375710703","55.812878375710703"
"27","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","Delta","91.912981074155098","91.912981074155098","91.912981074155098"
"28","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","BA.1","19.901006799491899","19.901006799491899","<20"
"29","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","BA.2","17.689496467259598","17.689496467259598","<20"
"30","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","BA.2.12.1","18.690726141089002","18.690726141089002","<20"
"31","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","BA.5","26.607409593318799","26.607409593318799","26.607409593318799"
"32","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","BQ.1.1","15.098045170527399","15.098045170527399","<20"
"33","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","CH.1.1","20.293181662909401","20.293181662909401","20.293181662909401"
"34","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","XBB.1","33.003145611600999","33.003145611600999","33.003145611600999"
"35","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","XBB.1.5","48.2925332960167","48.2925332960167","48.2925332960167"
"36","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","XBC.1.6","21.8259531953167","21.8259531953167","21.8259531953167"
"37","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","FL.1.5.1","27.800540218525899","27.800540218525899","27.800540218525899"
"38","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","DV.7.1","26.862455933169699","26.862455933169699","26.862455933169699"
"39","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","HV.1","15.9461934508832","15.9461934508832","<20"
"40","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","HK.3","22.156856086828402","22.156856086828402","22.156856086828402"
"41","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","BA.2.86","*","*","*"
"42","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","EG.5.1","18.724080523666601","18.724080523666601","<20"
"43","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","JN.1","*","*","*"
"44","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","KP.2","*","*","*"
"45","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","KP.3","*","*","*"
"46","20-05","Wuhan","n=5","?","5791","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._5791_D10_?_20-05","KZ.1.1.1","*","*","*"
"47","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","Wuhan","57.537311100229999","57.537311100229999","57.537311100229999"
"48","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","Alpha","121.075227005944","121.075227005944","121.075227005944"
"49","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","Beta","19.565083317227799","19.565083317227799","<20"
"50","20-05","Wuhan","n=5","?","7137","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7137_D10_?_20-05","Delta","57.231192522210101","57.231192522210101","57.231192522210101"
